title,year,rating,score,episodes
Mr. D,2012,N/A,6.5,25
The Real O'Neals,2016,7+,7,29
Body of Proof,2011,16+,7.1,42
Puella Magi Madoka Magica,2011,16+,8.4,12
Saving Grace,2007,18+,7.6,46
Date a Live,2013,18+,7.2,22
The Powerpuff Girls,2016,7+,3.6,1
Speed Racer,1967,7+,7.2,52
Naked and Afraid XL,2015,16+,7.4,9
My Life as a Teenage Robot,2003,all,7.1,39
Hunting Hitler,2015,7+,7.6,22
Alone Together,2018,16+,6.2,20
Black Lagoon,2006,18+,8.1,24
Detectorists,2014,N/A,8.6,12
W: Two Worlds,2016,N/A,8.4,16
The League of Gentlemen,1999,18+,8.3,21
I Feel Bad,2018,N/A,5.1,3
The Incredible Dr. Pol,2011,7+,8.7,108
Slayers,1995,7+,7.6,26
Prison School,2015,18+,7.7,12
Alaska: The Last Frontier,2011,16+,7.9,60
Kojak,1973,16+,7.1,71
Toddlers & Tiaras,2009,7+,1.8,27
TRON: Uprising,2012,7+,8.2,19
Worst Cooks in America,2010,all,6.4,36
Lipstick Jungle,2008,16+,6.5,20
Jane Eyre,2006,7+,8.4,2
Kendra on Top,2012,7+,3.8,18
The Invisible Man,2000,16+,8.9,46
GATE,2015,16+,7.6,24
Fate/stay night,2006,18+,7.5,49
WWE SmackDown Live,1999,16+,7.3,243
Blood Lad,2013,16+,7.3,10
Rosario + Vampire,2008,18+,7.2,13
Eli Stone,2008,7+,7.7,26
Beyond the Boundary,2013,16+,7.4,12
Aquarion,2005,18+,6.7,52
Gavin & Stacey,2007,16+,8,20
90 Day Fiancé: Before the 90 Days,2017,N/A,6.7,14
The Odd Couple,2015,7+,7.9,66
Pinky and the Brain,1995,all,7.9,42
Time Tunnel,1966,all,7.6,30
Toradora!,2008,16+,8.2,25
No Game  No Life,2014,16+,7.9,12
Rise,2018,16+,6,10
History's Strongest Disciple Kenichi,2006,16+,8.2,50
My So-Called Life,1994,16+,8.4,19
