title,release,duration,genres
All About the Money,2017,90,Action & Adventure
All American Christmas Carol,2013,87,Comedies
All Hallows' Eve,2016,92,Children & Family Movies
All These Sleepless Nights,2016,103,Dramas
All We Had,2016,105,Dramas
All Work All Play,2015,94,Documentaries
All the Boys Love Mandy Lane,2006,91,Dark Movies
All the Queen's Horses,2017,70,Crime Documentaries
All the Reasons to Forget,2017,90,Comedies
Alleycats,2016,101,Action & Adventure
Almost Adults,2016,90,Canadian Movies
AlphaGo,2017,90,Critically-acclaimed Movies
Alvin and the Chipmunks Meet the Wolfman,2000,77,Animal Tales
Always,1989,122,Dramas
Amanda Knox,2016,92,Crime Documentaries
Amanda and Jack Go Glamping,2017,92,Comedies
Amar,2017,104,Dramas
Amar Akbar & Tony,2015,92,British Movies
Amateur,2018,96,Basketball Movies
Ambushed,2013,97,Action & Adventure
Amelia: A Tale of Two Sisters,2017,44,Biographical Documentaries
Amelie,2001,122,Comedies
American Anarchist,2016,81,Biographical Documentaries
American Experience: Rachel Carson,2017,114,Biographical Documentaries
American Experience: Ruby Ridge,2017,53,Documentaries
American Experience: Tesla,2016,54,Biographical Documentaries
American Experience: The Battle of Chosin,2016,114,Dark Movies
American Experience: The Race Underground,2017,54,Documentaries
American Fable,2016,96,20th Century Period Pieces
American Heist,2014,95,Action & Adventure
American Hero,2015,86,Comedies
American Masters: This Is Bob Hope,2017,114,Biographical Documentaries
American Pie Presents: Band Camp,2005,91,Comedies
American Pie Presents: Beta House,2007,87,Comedies
American Pie Presents: The Book of Love,2009,91,Comedies
American Pie Presents: The Naked Mile,2006,102,Comedies
American Poltergeist,2015,78,Horror Movies
American Poltergeist 2,2014,103,Horror Movies
American Revolutionary: The Evolution of Grace Lee Boggs,2013,84,Biographical Documentaries
American Violence,2017,107,Crime Dramas
Americano,2016,88,Animal Tales
Amnesia,2015,96,Dramas
Amok,2014,84,Crime Dramas
Among the Believers,2015,83,Critically-acclaimed Movies
Amrapali,1966,116,Bollywood Movies
Amu,2005,102,Dark Movies
Amy,2015,128,Biographical Documentaries
Amy Schumer: The Leather Special,2017,57,Comedies
An American Tail,1986,80,Adventures
An American Tail: Fievel Goes West,1991,75,Adventures
An American Tail: The Mystery of the Night Monster,1999,75,Adventures
An American Tail: The Treasures of Manhattan Island,2000,79,Adventures
An American in Madras,2013,80,Biographical Documentaries
An Education,2009,100,20th Century Period Pieces
An Extremely Goofy Movie,1999,79,Animated
An Off-Day Game,2015,105,Dramas
An Unfinished Life,2005,108,Dramas
Anarkali of Aarah,2017,111,Dramas
Andaz Apna Apna,1994,160,Bollywood Movies
Angamaly Diaries,2017,128,Action & Adventure
Angel Eyes,2001,103,Crime Dramas
Angels in the Snow,2015,90,Canadian Movies
Anger Management,2003,105,Comedies
Angry Indian Goddesses,2015,104,Dramas
Anguish,2015,92,Dark Movies
Animal House,2011,53,British Movies
Animal World,2018,130,Action & Adventure
Animism,2013,54,Canadian Movies
Anjaan,2014,146,Action & Adventure
Anjelah Johnson: Not Fancy,2015,64,Blue-collar Stand-up Comedy
Ankhon Dekhi,2013,104,Dramas
Ankur Arora Murder Case,2013,127,Courtroom Dramas
Anna Karenina,2012,130,British Movies
Annabelle Hooper and the Ghosts of Nantucket,2016,92,Adventures
Annayum Rasoolum,2013,160,Dramas
Anon,2018,100,Crime Dramas
Another Cinderella Story,2008,92,Children & Family Movies
Another Forever,2016,72,Dramas
Ant Story,2013,91,Dramas
Antboy,2013,77,Action Comedies
Antboy 3,2016,85,Action Comedies
Anthony Jeselnik: Thoughts and Prayers,2015,59,Comedies
Anthony Joshua: The Road to Klitschko,2017,77,Biographical Documentaries
Anthony Kaun Hai?,2006,122,Bollywood Movies
Anti-Social,2015,104,British Movies
Antibirth,2016,94,Dark Movies
Antz,1998,83,Adventures
Anvil! The Story of Anvil,2008,77,Biographical Documentaries
Apartment: Rent at Your Own Risk,2010,97,Indian Movies
April and the Extraordinary World,2015,107,20th Century Period Pieces
Aquarius,2016,146,Critically-acclaimed Movies
Aram Aram,2015,79,Dramas
Arango y Sanint: Ríase el show,2018,62,Comedies
Arctic Heart,2016,81,Dramas
Arisan! 2,2011,113,Comedies
Armageddon,1998,151,Action & Adventure
Armistice,2008,55,British Movies
Arnez J: Racially Motivated,2013,59,African-American Stand-up Comedy
Aroni Takhon,2017,125,Dramas
Art Basel: A Portrait,2014,27,Documentaries
Arthur and the Invisibles,2006,94,20th Century Period Pieces
Arès,2016,80,Action & Adventure
As Above So Below,2014,93,Horror Movies
As I Lay Dying,2013,110,20th Century Period Pieces
As I Open My Eyes,2015,102,African Movies
Ashley Madison: Sex Lies and Cyber Attacks,2016,47,British Movies
Asoka,2001,168,Action & Adventure
Asperger's Are Us,2016,83,Critically-acclaimed Movies
Assassination Games,2011,100,Action & Adventure
Assassins,1995,133,Action & Adventure
Asu Mare 2,2015,100,Comedies
Asura: The City of Madness,2016,133,Action & Adventure
At All Costs,2016,81,Basketball Movies
At The Devil's Door,2014,93,Horror Movies
Ataud Blanco,2016,70,Dark Movies
Atlantis: Milo's Return,2003,81,Adventures
Atlantis: The Lost Empire,2001,97,Adventures
Atomic Falafel,2015,92,Comedies
Atonement,2007,123,20th Century Period Pieces
Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014,102,British Movies
Attitude Test,2016,88,Comedies
Audrie & Daisy,2016,99,Biographical Documentaries
August Rush,2007,114,Critically-acclaimed Movies
Autohead,2016,97,Crime Dramas
Automata,2014,110,International Movies
Ayanda and the Mechanic,2015,112,African Movies
Azhar,2016,129,Biographical Dramas
Aziz Ansari Live at Madison Square Garden,2015,58,Comedies
Aziz Ansari: Buried Alive,2013,80,Comedies
Aşk Tesadüfleri Sever,2011,122,Dramas
B.A. Pass,2013,99,Dark Movies
B.A. Pass 2,2017,126,Bollywood Movies
BLAME!,2017,106,Action & Adventure
BMF: The Rise and Fall of a Hip-Hop Drug Empire,2012,63,Crime Documentaries
Baabul,2006,162,Bollywood Movies
Baadshaho,2017,135,Action & Adventure
Baaghi,2016,127,Action & Adventure
Baahubali 2: The Conclusion (Hindi Version),2017,165,Action & Adventure
Baahubali 2: The Conclusion (Malayalam Version),2017,166,Action & Adventure
Baahubali 2: The Conclusion (Tamil Version),2017,166,Action & Adventure
Baahubali: The Beginning (Hindi Version),2015,159,Action & Adventure
Baahubali: The Beginning (Malayalam Version),2015,160,Action & Adventure
Baahubali: The Beginning (Tamil Version),2015,159,Action & Adventure
Baba,2014,65,Dramas
Babam ve Oğlum,2005,112,20th Century Period Pieces
Babies Behind Bars,2011,85,Documentaries
Bachelor Girls,2016,61,Documentaries
Bachelorette,2012,87,Comedies
Back and Forth,2016,95,Comedies
Back in Time,2015,94,Documentaries
Back in the Day,2016,121,Action & Adventure
Backcountry,2014,92,Canadian Movies
Bad Ass,2012,90,Action & Adventure
Bad Ass 2: Bad Asses,2014,91,Action & Adventure
Bad Asses on the Bayou,2015,85,Action & Adventure
Bad Day for the Cut,2017,99,British Movies
Bad Genius,2017,130,Crime Movies
Bad Match,2017,83,Critically-acclaimed Movies
Bad Rap,2016,83,Documentaries
Bad Santa,2003,92,Comedies
Bad Santa 2,2016,92,Comedies
Badha,2006,91,Dramas
Baghban,2003,168,Bollywood Movies
Bald Mountain,2013,106,Crime Dramas
Ballerina,2016,89,Adventures
Balto,1995,78,Adventures
Balto 2: Wolf Quest,2001,75,Adventures
Balto 3: Wings of Change,2004,78,Adventures
Balu Mahi,2017,149,International Movies
Bana Masal Anlatma,2015,103,Comedies
Band of Robbers,2015,95,Action & Adventure
Bandie,1978,141,Action & Adventure
Bang Gang,2015,98,Dramas
Bang Rajan 2,2010,122,Action & Adventure
Bangkok Dangerous,2008,99,Action & Adventure
Bangkok Hell,2002,107,Crime Dramas
Bangkok Traffic (Love) Story,2009,126,Campy Movies
Bank Attack,2007,112,Comedies
Banking on Bitcoin,2017,84,Documentaries
Barakah Meets Barakah,2016,88,Comedies
Barbecue,2017,101,Australian Movies
Barbershop Punk,2010,77,Documentaries
Barbie & Her Sisters in a Pony Tale,2013,74,Animal Tales
Barbie Dolphin Magic,2017,64,Animated
Barbie Star Light Adventure,2016,79,Adventures
Barbie in A Mermaid Tale,2010,74,Animated
Barbie in Princess Power,2015,74,Adventures
Barbie in Rock 'N Royals,2015,83,Animated
Barbie: A Fairy Secret,2010,72,Animated
Barbie: Princess Charm School,2011,80,Animated
Barbie: Spy Squad,2016,75,Animated
Barbie: The Princess & the Popstar,2012,75,Animated
Barbie: Video Game Hero,2017,72,Adventures
Barbra Streisand... and Other Musical Instruments,1973,52,Jazz & Easy Listening
Barbra Streisand: A Happening in Central Park,1968,53,Critically-acclaimed Movies
Barbra Streisand: The Concert,1994,102,Critically-acclaimed Movies
Barbra Streisand: Timeless: Live in Concert,2001,127,Jazz & Easy Listening
Barbra: The Music ... The Mem'ries ... The Magic!,2017,109,Movies
Bareilly Ki Barfi,2017,110,Bollywood Movies
Barely Lethal,2015,99,Action & Adventure
Barking Dogs Never Bite,2000,110,Comedies
Barrio Universitario,2013,91,Comedies
Barry,2016,105,20th Century Period Pieces
Barsaat,1995,166,Action & Adventure
Barça Dreams,2015,122,Documentaries
Basic Sanitation: The Movie,2007,112,Comedies
Bathinda Express,2016,118,Dramas
Batkid Begins: The Wish Heard Around the World,2015,87,Biographical Documentaries
Batman Unlimited: Animal Instincts,2015,77,Adventures
Batman Unlimited: Mechs vs Mutants,2016,75,Animated
Batman Unlimited: Monster Mayhem,2015,80,Adventures
Batman: Bad Blood,2016,73,Action & Adventure
Batteries Not Included,1987,106,Children & Family Movies
Battle Drone,2018,94,Action & Adventure
Battle Royale,2000,122,Action & Adventure
Battle Royale 2,2003,133,Action & Adventure
Battle of Britain: The Real Story,2010,59,British TV Shows
Battlefield Earth,2000,118,Action & Adventure
Bbuddah Hoga Terra Baap,2011,116,Action & Adventure
Be Afraid,2017,96,Creature Features
Be Here Now,2015,110,Biographical Documentaries
Beak & Brain: Genius Birds From Down Under,2013,52,Documentaries
Bean: The Ultimate Disaster Movie,1997,89,British Movies
Bears: Spy in the Woods,2004,52,British Movies
Beary Tales,2013,52,Documentaries
Beasts of No Nation,2015,137,Critically-acclaimed Movies
Beat Bugs: All Together Now,2017,51,Adventures
Beauties of the Night,2016,92,Documentaries
